,close_time,value,histogram,signal,deal
0,2022-09-06 04:14:59,,,,
1,2022-09-06 04:29:59,,,,
2,2022-09-06 04:44:59,,,,
3,2022-09-06 04:59:59,,,,
4,2022-09-06 05:14:59,,,,
5,2022-09-06 05:29:59,,,,
6,2022-09-06 05:44:59,,,,
7,2022-09-06 05:59:59,,,,
8,2022-09-06 06:14:59,,,,
9,2022-09-06 06:29:59,,,,
10,2022-09-06 06:44:59,,,,
11,2022-09-06 06:59:59,,,,
12,2022-09-06 07:14:59,,,,
13,2022-09-06 07:29:59,,,,
14,2022-09-06 07:44:59,,,,
15,2022-09-06 07:59:59,,,,
16,2022-09-06 08:14:59,,,,
17,2022-09-06 08:29:59,,,,
18,2022-09-06 08:44:59,,,,
19,2022-09-06 08:59:59,,,,
20,2022-09-06 09:14:59,,,,
21,2022-09-06 09:29:59,,,,
22,2022-09-06 09:44:59,,,,
23,2022-09-06 09:59:59,,,,
24,2022-09-06 10:14:59,,,,
25,2022-09-06 10:29:59,9.231922598008623,,,
26,2022-09-06 10:44:59,8.422466173769635,,,
27,2022-09-06 10:59:59,7.817536312343009,,,
28,2022-09-06 11:14:59,6.913872901683135,,,
29,2022-09-06 11:29:59,6.824291905847531,,,
30,2022-09-06 11:44:59,6.465739366023627,,,
31,2022-09-06 11:59:59,6.519571542901986,,,
32,2022-09-06 12:14:59,5.872407903215162,,,
33,2022-09-06 12:29:59,4.749616927355646,-2.2300970316608373,6.979713959016483,
34,2022-09-06 12:44:59,4.572847736270887,-1.925492978196477,6.498340714467364,
35,2022-09-06 12:59:59,4.204349392984568,-1.8351930571862374,6.0395424501708055,
36,2022-09-06 13:14:59,4.266587450033967,-1.418364000109472,5.684951450143439,
37,2022-09-06 13:29:59,4.424676099288945,-1.008220280683596,5.432896379972541,
38,2022-09-06 13:44:59,4.370475740736083,-0.849936511389167,5.22041225212525,
39,2022-09-06 13:59:59,4.282991405793155,-0.7499366770656763,5.032928082858831,
40,2022-09-06 14:14:59,4.731224574646603,-0.24136280656978215,4.972587381216385,
41,2022-09-06 14:29:59,4.581763671900262,-0.312658967452899,4.894422639353161,
42,2022-09-06 14:44:59,4.532906683459487,-0.2892127647149394,4.822119448174426,
43,2022-09-06 14:59:59,4.575393012362383,-0.19738114864963485,4.772774161012018,
44,2022-09-06 15:14:59,5.366225400962776,0.47476099196060595,4.89146440900217,buy
45,2022-09-06 15:29:59,5.9015359572624675,0.8080572386082379,5.09347871865423,
46,2022-09-06 15:44:59,6.004795954850806,0.7290537889572608,5.275742165893545,
47,2022-09-06 15:59:59,5.18843503039875,-0.06984570839583615,5.2582807387945865,sell
48,2022-09-06 16:14:59,4.595007696080074,-0.5306184341716094,5.125626130251684,
49,2022-09-06 16:29:59,3.883860836473332,-0.9934122350226815,4.877273071496013,
50,2022-09-06 16:44:59,2.9186732873631627,-1.5668798273062805,4.485553114669443,
51,2022-09-06 16:59:59,1.336276509144227,-2.519421284420173,3.8556977935644,
52,2022-09-06 17:14:59,-0.14288081292647803,-3.198862885192703,3.0559820722662248,
53,2022-09-06 17:29:59,-0.6515894748001756,-2.9660572376531205,2.314467762852945,
54,2022-09-06 17:44:59,-0.6741778625951156,-2.3909165003584487,1.716738637763333,
55,2022-09-06 17:59:59,-0.1385513531745346,-1.4842319927502943,1.3456806395757597,
56,2022-09-06 18:14:59,0.21168082774693175,-0.9071998494630624,1.1188806772099942,
57,2022-09-06 18:29:59,0.2794504187509119,-0.6715442067672658,0.9509946255181777,
58,2022-09-06 18:44:59,0.6285069311470579,-0.25799015549689597,0.8864970866439539,
59,2022-09-06 18:59:59,1.1772149459172851,0.23257428741866493,0.9446406584986202,buy
60,2022-09-06 19:14:59,1.303328462379568,0.28695024310475814,1.0163782192748099,
61,2022-09-06 19:29:59,0.6820974173012928,-0.26742464157881374,0.9495220588801065,sell
62,2022-09-06 19:44:59,0.806636086629851,-0.11430877780020454,0.9209448644300555,
63,2022-09-06 19:59:59,0.657295886398515,-0.21091918242523244,0.8682150688237474,
64,2022-09-06 20:14:59,-3.549136417331283,-3.5338811889240245,-0.01525522840725868,
65,2022-09-06 20:29:59,-7.8652969240445145,-6.280033356509804,-1.58526356753471,
66,2022-09-06 20:44:59,-11.450832398830926,-7.892455065036972,-3.5583773337939535,
67,2022-09-06 20:59:59,-14.624105692195371,-8.852582686721133,-5.771523005474238,
68,2022-09-06 21:14:59,-16.80243541557593,-8.824729928081352,-7.9777054874945765,
69,2022-09-06 21:29:59,-19.300415279585195,-9.058167833672494,-10.242247445912701,
70,2022-09-06 21:44:59,-21.569654030252423,-9.061925267471775,-12.507728762780648,
71,2022-09-06 21:59:59,-22.907893461342155,-8.320131758849206,-14.58776170249295,
72,2022-09-06 22:14:59,-23.489501067337414,-7.1213914918755705,-16.368109575461844,
73,2022-09-06 22:29:59,-23.85139305417306,-5.9866267829689725,-17.864766271204086,
74,2022-09-06 22:44:59,-23.23770280962367,-4.298349230735667,-18.939353578888003,
75,2022-09-06 22:59:59,-22.85743036378426,-3.1344614279170067,-19.722968935867254,
76,2022-09-06 23:14:59,-23.30972482514926,-2.8694047114256023,-20.440320113723658,
77,2022-09-06 23:29:59,-23.161525615960272,-2.1769644017892915,-20.98456121417098,
78,2022-09-06 23:44:59,-21.947050160145864,-0.7699911567799056,-21.177059003365958,
79,2022-09-06 23:59:59,-20.355343747070492,0.6573722050363742,-21.012715952106866,buy
80,2022-09-07 00:14:59,-18.907421699822635,1.6842354018273866,-20.59165710165002,
81,2022-09-07 00:29:59,-17.401187369929403,2.552375785376494,-19.953563155305897,
82,2022-09-07 00:44:59,-16.174352070213445,3.0233688680739625,-19.197720938287407,
83,2022-09-07 00:59:59,-14.813448606672864,3.507417865291636,-18.3208664719645,
84,2022-09-07 01:14:59,-13.882331094136362,3.550828302262513,-17.433159396398874,
85,2022-09-07 01:29:59,-13.155759469281293,3.4219199416940675,-16.57767941097536,
86,2022-09-07 01:44:59,-12.35521749004397,3.3779695367451126,-15.733187026789082,
87,2022-09-07 01:59:59,-11.643850212977213,3.271469451049496,-14.91531966402671,
88,2022-09-07 02:14:59,-11.301623996323997,2.8909565341621697,-14.192580530486167,
89,2022-09-07 02:29:59,-11.182311444857078,2.4082152685032714,-13.59052671336035,
90,2022-09-07 02:44:59,-11.4679519080114,1.6980598442791592,-13.16601175229056,
91,2022-09-07 02:59:59,-12.03729469928021,0.9029736424082806,-12.94026834168849,
92,2022-09-07 03:14:59,-12.107665322647108,0.6660824152331077,-12.773747737880216,
93,2022-09-07 03:29:59,-14.464250109357636,-1.3524018971819345,-13.111848212175701,sell
94,2022-09-07 03:44:59,-16.60682508345417,-2.7959814970227725,-13.810843586431396,
95,2022-09-07 03:59:59,-17.107055332863638,-2.636969397145794,-14.470085935717844,
96,2022-09-07 04:14:59,-17.507440225331493,-2.429883431690918,-15.077556793640575,
97,2022-09-07 04:29:59,-17.948682631392103,-2.2969006702012216,-15.651781961190881,
98,2022-09-07 04:44:59,-18.617933147463646,-2.3729209490182086,-16.245012198445437,
99,2022-09-07 04:59:59,-18.752212803673956,-2.005760484182815,-16.74645231949114,
100,2022-09-07 05:14:59,-19.31061181861196,-2.0513275992966555,-17.259284219315305,
101,2022-09-07 05:29:59,-21.08200008594372,-3.05817269330273,-18.02382739264099,
102,2022-09-07 05:44:59,-21.920871234583274,-3.117635073553828,-18.803236161029446,
103,2022-09-07 05:59:59,-22.74231306061597,-3.1512615196692195,-19.59105154094675,
104,2022-09-07 06:14:59,-22.570709784024984,-2.383726594462587,-20.186983189562397,
